model_arch,train_type,layer,sub,target_age,target_roi,corr
cornet_z_cl,imagenet_noface,aIT,NDARLK551KXD,8.0,lLO,0.11984294864330702
cornet_z_cl,imagenet_noface,aIT,NDARLK551KXD,8.0,lFFA,0.08609344131955504
cornet_z_cl,imagenet_noface,aIT,NDARLK551KXD,8.0,lOFA,0.08716664884687798
cornet_z_cl,imagenet_noface,aIT,NDARLK551KXD,8.0,rLO,0.1085735374418939
cornet_z_cl,imagenet_noface,aIT,NDARLK551KXD,8.0,rFFA,0.11756082524297366
cornet_z_cl,imagenet_noface,aIT,NDARLK551KXD,8.0,rOFA,0.08971013565390717
cornet_z_cl,imagenet_noface,aIT,NDARLY125HMB,5.0,lLO,0.18245270640989905
cornet_z_cl,imagenet_noface,aIT,NDARLY125HMB,5.0,lFFA,0.14994766453058433
cornet_z_cl,imagenet_noface,aIT,NDARLY125HMB,5.0,lOFA,0.10218974406068643
cornet_z_cl,imagenet_noface,aIT,NDARLY125HMB,5.0,rLO,0.14206478579002677
cornet_z_cl,imagenet_noface,aIT,NDARLY125HMB,5.0,rFFA,0.12252577725894373
cornet_z_cl,imagenet_noface,aIT,NDARLY125HMB,5.0,rOFA,0.12072598427765535
cornet_z_cl,imagenet_noface,aIT,NDARMV319CAT,18.0,lLO,0.12712056250968173
cornet_z_cl,imagenet_noface,aIT,NDARMV319CAT,18.0,lFFA,0.10188785672745333
cornet_z_cl,imagenet_noface,aIT,NDARMV319CAT,18.0,lOFA,0.08681811985081594
cornet_z_cl,imagenet_noface,aIT,NDARMV319CAT,18.0,rLO,0.1255026494198529
cornet_z_cl,imagenet_noface,aIT,NDARMV319CAT,18.0,rFFA,0.10938680682895625
cornet_z_cl,imagenet_noface,aIT,NDARMV319CAT,18.0,rOFA,0.10814189204017115
cornet_z_cl,imagenet_noface,aIT,NDARMV822KWR,7.0,lLO,0.14634426547546384
cornet_z_cl,imagenet_noface,aIT,NDARMV822KWR,7.0,lFFA,0.11534419248885432
cornet_z_cl,imagenet_noface,aIT,NDARMV822KWR,7.0,lOFA,0.12495208895684283
cornet_z_cl,imagenet_noface,aIT,NDARMV822KWR,7.0,rLO,0.14629448418972693
cornet_z_cl,imagenet_noface,aIT,NDARMV822KWR,7.0,rFFA,0.13728537947172648
cornet_z_cl,imagenet_noface,aIT,NDARMV822KWR,7.0,rOFA,0.11350880683833403
cornet_z_cl,imagenet_noface,aIT,NDARNF359TBZ,7.0,lLO,0.08161300924951118
cornet_z_cl,imagenet_noface,aIT,NDARNF359TBZ,7.0,lFFA,0.07785790479823583
cornet_z_cl,imagenet_noface,aIT,NDARNF359TBZ,7.0,lOFA,0.06804265109674473
cornet_z_cl,imagenet_noface,aIT,NDARNF359TBZ,7.0,rLO,0.10654949983921846
cornet_z_cl,imagenet_noface,aIT,NDARNF359TBZ,7.0,rFFA,0.10956898736341225
cornet_z_cl,imagenet_noface,aIT,NDARNF359TBZ,7.0,rOFA,0.0935537538457793
cornet_z_cl,imagenet_noface,aIT,NDARNT151UN1,7.0,lLO,0.12392159773550444
cornet_z_cl,imagenet_noface,aIT,NDARNT151UN1,7.0,lFFA,0.09718170317707527
cornet_z_cl,imagenet_noface,aIT,NDARNT151UN1,7.0,lOFA,0.07885443252277723
cornet_z_cl,imagenet_noface,aIT,NDARNT151UN1,7.0,rLO,0.12005653651637836
cornet_z_cl,imagenet_noface,aIT,NDARNT151UN1,7.0,rFFA,0.09378996113910042
cornet_z_cl,imagenet_noface,aIT,NDARNT151UN1,7.0,rOFA,0.07804487238877134
cornet_z_cl,imagenet_noface,aIT,NDARPF319WV2,6.0,lLO,0.1130074691805919
cornet_z_cl,imagenet_noface,aIT,NDARPF319WV2,6.0,lFFA,0.08944949870129473
cornet_z_cl,imagenet_noface,aIT,NDARPF319WV2,6.0,lOFA,0.08751414667182797
cornet_z_cl,imagenet_noface,aIT,NDARPF319WV2,6.0,rLO,0.10275560298104355
cornet_z_cl,imagenet_noface,aIT,NDARPF319WV2,6.0,rFFA,0.09597723676154916
cornet_z_cl,imagenet_noface,aIT,NDARPF319WV2,6.0,rOFA,0.08943670246455626
cornet_z_cl,imagenet_noface,aIT,NDARRK545WNM,18.0,lLO,0.15225375048356996
cornet_z_cl,imagenet_noface,aIT,NDARRK545WNM,18.0,lFFA,0.10476180436482198
cornet_z_cl,imagenet_noface,aIT,NDARRK545WNM,18.0,lOFA,0.12144041115481971
cornet_z_cl,imagenet_noface,aIT,NDARRK545WNM,18.0,rLO,0.1592808240398526
cornet_z_cl,imagenet_noface,aIT,NDARRK545WNM,18.0,rFFA,0.14248029727139594
cornet_z_cl,imagenet_noface,aIT,NDARRK545WNM,18.0,rOFA,0.15071076426618088
cornet_z_cl,imagenet_noface,aIT,NDARRR813CY6,6.0,lLO,0.11138879088277898
cornet_z_cl,imagenet_noface,aIT,NDARRR813CY6,6.0,lFFA,0.07048592277987085
cornet_z_cl,imagenet_noface,aIT,NDARRR813CY6,6.0,lOFA,0.06938454313548746
cornet_z_cl,imagenet_noface,aIT,NDARRR813CY6,6.0,rLO,0.11687503434017964
cornet_z_cl,imagenet_noface,aIT,NDARRR813CY6,6.0,rFFA,0.07259406377900264
cornet_z_cl,imagenet_noface,aIT,NDARRR813CY6,6.0,rOFA,0.10207990553111657
cornet_z_cl,imagenet_noface,aIT,NDARRY768ZH3,7.0,lLO,0.14562374802392264
cornet_z_cl,imagenet_noface,aIT,NDARRY768ZH3,7.0,lFFA,0.10569403998693493
cornet_z_cl,imagenet_noface,aIT,NDARRY768ZH3,7.0,lOFA,0.09755018276645887
cornet_z_cl,imagenet_noface,aIT,NDARRY768ZH3,7.0,rLO,0.11137700702072975
cornet_z_cl,imagenet_noface,aIT,NDARRY768ZH3,7.0,rFFA,0.09487370962373562
cornet_z_cl,imagenet_noface,aIT,NDARRY768ZH3,7.0,rOFA,0.09381898615440412
cornet_z_cl,imagenet_noface,aIT,NDARTC794GZ5,6.0,lLO,0.09243807572579042
cornet_z_cl,imagenet_noface,aIT,NDARTC794GZ5,6.0,lFFA,0.060634137080268984
cornet_z_cl,imagenet_noface,aIT,NDARTC794GZ5,6.0,lOFA,0.06378987287935245
cornet_z_cl,imagenet_noface,aIT,NDARTC794GZ5,6.0,rLO,0.132660756225131
cornet_z_cl,imagenet_noface,aIT,NDARTC794GZ5,6.0,rFFA,0.08078526183461213
cornet_z_cl,imagenet_noface,aIT,NDARTC794GZ5,6.0,rOFA,0.09827212206701676
cornet_z_cl,imagenet_noface,aIT,NDARTE773XJ5,5.0,lLO,0.1289253875112439
cornet_z_cl,imagenet_noface,aIT,NDARTE773XJ5,5.0,lFFA,0.09463427212735809
cornet_z_cl,imagenet_noface,aIT,NDARTE773XJ5,5.0,lOFA,0.0922695330507304
cornet_z_cl,imagenet_noface,aIT,NDARTE773XJ5,5.0,rLO,0.07845437011622897
cornet_z_cl,imagenet_noface,aIT,NDARTE773XJ5,5.0,rFFA,0.08813255788289939
cornet_z_cl,imagenet_noface,aIT,NDARTE773XJ5,5.0,rOFA,0.05862236488550162
cornet_z_cl,imagenet_noface,aIT,NDARTH930FNK,6.0,lLO,0.12190151502665812
cornet_z_cl,imagenet_noface,aIT,NDARTH930FNK,6.0,lFFA,0.05610886217921261
cornet_z_cl,imagenet_noface,aIT,NDARTH930FNK,6.0,lOFA,0.09479400982773607
cornet_z_cl,imagenet_noface,aIT,NDARTH930FNK,6.0,rLO,0.09693101540789738
cornet_z_cl,imagenet_noface,aIT,NDARTH930FNK,6.0,rFFA,0.04891615515884895
cornet_z_cl,imagenet_noface,aIT,NDARTH930FNK,6.0,rOFA,0.08346522198779448
cornet_z_cl,imagenet_noface,aIT,NDARTK357VHL,6.0,lLO,0.1284291682286037
cornet_z_cl,imagenet_noface,aIT,NDARTK357VHL,6.0,lFFA,0.1260052403393664
cornet_z_cl,imagenet_noface,aIT,NDARTK357VHL,6.0,lOFA,0.09036098762282939
cornet_z_cl,imagenet_noface,aIT,NDARTK357VHL,6.0,rLO,0.1320348862722751
cornet_z_cl,imagenet_noface,aIT,NDARTK357VHL,6.0,rFFA,0.14310057426542233
cornet_z_cl,imagenet_noface,aIT,NDARTK357VHL,6.0,rOFA,0.11208448939878464
cornet_z_cl,imagenet_noface,aIT,NDARUV041YCY,7.0,lLO,0.09664165345102893
cornet_z_cl,imagenet_noface,aIT,NDARUV041YCY,7.0,lFFA,0.05522167450563905
cornet_z_cl,imagenet_noface,aIT,NDARUV041YCY,7.0,lOFA,0.10172406406974738
cornet_z_cl,imagenet_noface,aIT,NDARUV041YCY,7.0,rLO,0.09545358324858716
cornet_z_cl,imagenet_noface,aIT,NDARUV041YCY,7.0,rFFA,0.07784315851533331
cornet_z_cl,imagenet_noface,aIT,NDARUV041YCY,7.0,rOFA,0.06762036272164652
cornet_z_cl,imagenet_noface,aIT,NDARUY339ZLN,7.0,lLO,0.11317340769805971
cornet_z_cl,imagenet_noface,aIT,NDARUY339ZLN,7.0,lFFA,0.0932126645315149
cornet_z_cl,imagenet_noface,aIT,NDARUY339ZLN,7.0,lOFA,0.08452126788555045
