sub,age,roi,r2,architecture,train_type,layer,corr
sub-pixar022,3.822039699,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.1114229030960413
sub-pixar022,3.822039699,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.06249820767842311
sub-pixar022,3.822039699,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.09808014043794032
sub-pixar023,3.865845311,lLO,,cornet_z_sl,imagenet_noface,aIT,0.03027303385727726
sub-pixar023,3.865845311,rLO,,cornet_z_sl,imagenet_noface,aIT,0.009867216756160483
sub-pixar023,3.865845311,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.02417936325611783
sub-pixar023,3.865845311,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.046525462307090835
sub-pixar023,3.865845311,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.041636576001619886
sub-pixar023,3.865845311,rA1,,cornet_z_sl,imagenet_noface,aIT,0.0012291788558437947
sub-pixar024,4.057494867,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.03765722447136134
sub-pixar024,4.057494867,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.04631670577308894
sub-pixar024,4.057494867,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.059542978742646926
sub-pixar024,4.057494867,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.057337697002941196
sub-pixar024,4.057494867,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.0010018560800388356
sub-pixar024,4.057494867,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.02374080921805896
sub-pixar025,3.93155373,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.04801777067504173
sub-pixar025,3.93155373,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.035688916666105935
sub-pixar025,3.93155373,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.0022576692484129537
sub-pixar025,3.93155373,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.0068797146801375525
sub-pixar025,3.93155373,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.009484352819616968
sub-pixar025,3.93155373,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.03895271716827597
sub-pixar026,3.93155373,lLO,,cornet_z_sl,imagenet_noface,aIT,0.018462250854121932
sub-pixar026,3.93155373,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.04976467045755801
