sub,age,roi,corr,seed_age,seed_roi
s7067_1_3,0.766666667,lA1,0.14893238917906318,adult,rLO
s7067_1_3,0.766666667,rA1,0.03992482400949414,adult,rLO
s8037_1_1,0.666666667,lLO,0.1414514948751499,adult,rLO
s8037_1_1,0.666666667,rLO,-0.06028827724613563,adult,rLO
s8037_1_1,0.666666667,lFFA,-0.11190979805112129,adult,rLO
s8037_1_1,0.666666667,rFFA,-0.044751403586773306,adult,rLO
s8037_1_1,0.666666667,lA1,0.08165415773348904,adult,rLO
s8037_1_1,0.666666667,rA1,-0.13039714018979012,adult,rLO
s8077_1_1,0.391666667,lLO,-0.016686068759567404,adult,rLO
s8077_1_1,0.391666667,rLO,-0.1378180632246645,adult,rLO
s8077_1_1,0.391666667,lFFA,-0.0785397879885516,adult,rLO
s8077_1_1,0.391666667,rFFA,-0.18865891279320923,adult,rLO
s8077_1_1,0.391666667,lA1,-0.037973713100391854,adult,rLO
s8077_1_1,0.391666667,rA1,-0.1045579047270776,adult,rLO
s8687_1_3,0.916666667,lLO,0.06464121360589609,adult,rLO
